"エラー: このエラーによって本の出版がブロックされます。出版するには、エラーを修正する必要があります。"
"注意: この問題によって本の出版がブロックされることはありません。影響が及ぶことはありませんので、無視しても問題ありません。"
"タイプ","内容紹介","ソース ファイル","行番号","警告またはエラーの前のテキスト","推奨される修正"
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-17.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-18.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-19.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-2.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-20.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-3.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-4.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-5.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-6.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-7.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-8.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/circled-9.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/marker-h3.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/marker-h4.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/stylesheets/twemoji/vs-techbook/wave.webp","","","",""
