"エラー: このエラーによって本の出版がブロックされます。出版するには、エラーを修正する必要があります。"
"注意: この問題によって本の出版がブロックされることはありません。影響が及ぶことはありませんので、無視しても問題ありません。"
"タイプ","内容紹介","ソース ファイル","行番号","警告またはエラーの前のテキスト","推奨される修正"
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/kosumosu.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/lime.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/magenta.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/nanohana.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/navy.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/orange.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/purple.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/red.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/sakura.webp","","","",""
"注意","W14015: 画像が無効で、本に組み込まれていません :   /private/var/folders/27/q9rb64qs7_g8mh15q2zdyjz80000gn/T/170b891e-7002-44ee-9267-b0ce113f5b7f/cTemp/mTemp/mobi-Py7CZY/EPUB/images/42-frontispiece/suisen.webp","","","",""
