# 漢字レベル判定用データ（vs metrics の「漢字レベル（ルビ候補）」用）
# 各行: 漢字<TAB>レベル。1〜6=小学校の学年別配当漢字（教育漢字＝L0）、中学=中学で習う常用漢字（L1）。
# 出典: 文部科学省「学年別漢字配当表」/ 文化庁「常用漢字表」（kanjiapi.dev 経由で取得した事実データ）。
# L2（JIS第一水準∖常用）・L3（JIS第二水準）・L4（JIS外）は符号位置から算出するため本ファイルには含めない。
英	4
菜	4
街	4
衣	4
要	4
覚	4
観	4
訓	4
試	4
説	4
課	4
議	4
象	4
貨	4
貯	4
費	4
賞	4
軍	4
輪	4
辞	4
辺	4
連	4
達	4
選	4
郡	4
量	4
録	4
鏡	4
関	4
陸	4
隊	4
静	4
順	4
願	4
類	4
飛	4
飯	4
養	4
験	4
久	5
仏	5
仮	5
件	5
任	5
似	5
余	5
価	5
保	5
修	5
俵	5
個	5
備	5
像	5
再	5
刊	5
判	5
制	5
券	5
則	5
効	5
務	5
勢	5
厚	5
句	5
可	5
営	5
因	5
団	5
圧	5
在	5
均	5
基	5
報	5
境	5
墓	5
増	5
夢	5
妻	5
婦	5
容	5
寄	5
富	5
導	5
居	5
属	5
布	5
師	5
常	5
幹	5
序	5
弁	5
張	5
往	5
復	5
徳	5
志	5
応	5
快	5
性	5
恩	5
情	5
態	5
慣	5
承	5
技	5
招	5
授	5
採	5
接	5
提	5
損	5
支	5
政	5
故	5
敵	5
断	5
旧	5
易	5
暴	5
条	5
枝	5
査	5
格	5
桜	5
検	5
構	5
武	5
比	5
永	5
河	5
液	5
混	5
減	5
測	5
準	5
演	5
潔	5
災	5
燃	5
版	5
犯	5
状	5
独	5
率	5
現	5
留	5
略	5
益	5
眼	5
破	5
確	5
示	5
祖	5
禁	5
移	5
程	5
税	5
築	5
精	5
素	5
経	5
統	5
絶	5
綿	5
総	5
編	5
績	5
織	5
罪	5
群	5
義	5
耕	5
職	5
肥	5
能	5
興	5
舌	5
舎	5
術	5
衛	5
製	5
複	5
規	5
解	5
設	5
許	5
証	5
評	5
講	5
謝	5
識	5
護	5
豊	5
財	5
貧	5
責	5
貸	5
貿	5
賀	5
資	5
賛	5
質	5
輸	5
述	5
迷	5
退	5
逆	5
造	5
過	5
適	5
酸	5
鉱	5
銅	5
銭	5
防	5
限	5
険	5
際	5
雑	5
非	5
預	5
領	5
額	5
飼	5
並	6
乱	6
乳	6
亡	6
仁	6
供	6
俳	6
値	6
傷	6
優	6
党	6
冊	6
処	6
刻	6
割	6
創	6
劇	6
勤	6
危	6
卵	6
厳	6
収	6
后	6
否	6
吸	6
呼	6
善	6
困	6
垂	6
城	6
域	6
奏	6
奮	6
姿	6
存	6
孝	6
宅	6
宇	6
宗	6
宙	6
宝	6
宣	6
密	6
寸	6
専	6
射	6
将	6
尊	6
就	6
尺	6
届	6
展	6
層	6
己	6
巻	6
幕	6
干	6
幼	6
庁	6
座	6
延	6
律	6
従	6
忘	6
忠	6
憲	6
我	6
批	6
担	6
拝	6
拡	6
捨	6
探	6
推	6
揮	6
操	6
敬	6
映	6
晩	6
暖	6
暮	6
朗	6
机	6
枚	6
染	6
株	6
棒	6
模	6
権	6
樹	6
欲	6
段	6
沿	6
泉	6
洗	6
派	6
済	6
源	6
潮	6
激	6
灰	6
熟	6
片	6
班	6
異	6
疑	6
痛	6
皇	6
盛	6
盟	6
看	6
砂	6
磁	6
私	6
秘	6
穀	6
穴	6
窓	6
筋	6
策	6
簡	6
糖	6
系	6
紅	6
納	6
純	6
絹	6
縦	6
縮	6
署	6
翌	6
聖	6
肺	6
背	6
胸	6
脳	6
腹	6
